text,emotion
The thought of losing my job terrifies me. I'm speechless.,fear
Nothing seems to cheer me up lately..,sadness
The thought of losing my job terrifies me..,fear
Laughing with friends is the best feeling. That really hit me.,joy
I can't breathe when I'm anxious. Honestly.,fear
Today has been really hard for me. Honestly.,sadness
My best friend moved away..,sadness
"Wow, I didn’t expect that at all! Can you believe it?",surprise
What if I fail the exam tomorrow?.,fear
That food smelled terrible. It left me stunned.,disgust
That food smelled terrible. It's real.,disgust
Laughing with friends is the best feeling. I still can't believe it.,joy
You threw me a party? I'm shocked! I'm telling the truth.,surprise
The weather is moderate and cloudy. I still can't believe it.,neutral
I can't stand people who lie. It's real.,disgust
I’m just reading a book now. I couldn't believe it.,neutral
Everyone was watching when I slipped. It really happened.,shame
That’s the most disgusting thing ever. Seriously.,disgust
I can't believe I acted like that.,shame
I just got a promotion at work!.,joy
The thought of losing my job terrifies me. I still can't believe it.,fear
This surprise party is amazing! It really happened.,joy
I just want to be alone and cry. Can you believe it?,sadness
This situation makes me sick. Seriously.,disgust
I can't breathe when I'm anxious.!,fear
I had cereal for breakfast today. Can you believe it?,neutral
I’m just reading a book now. That really hit me.,neutral
She wore a red dress to the event. I'm still processing it.,neutral
I'm afraid of what might happen next. I still can't believe it.,fear
I’m just reading a book now. I'm not joking.,neutral
"Wow, I didn’t expect that at all! That really hit me.",surprise
Nothing seems to cheer me up lately. No way!,sadness
I’m just reading a book now. Honestly.,neutral
I'm so proud of my accomplishments. I'm speechless.,joy
This gift is such a wonderful surprise. Honestly.,surprise
I'm so proud of my accomplishments. No way!,joy
I'm so proud of my accomplishments. It left me stunned.,joy
This surprise party is amazing! It's real.,joy
The thought of losing my job terrifies me. I still can't believe it.,fear
Everyone was watching when I slipped. It left me stunned.,shame
The meeting is scheduled at 3 PM. It's real.,neutral
Laughing with friends is the best feeling. I'm still processing it.,joy
This situation makes me sick. I still can't believe it.,disgust
I'm so proud of my accomplishments. It really happened.,joy
I'm really scared of the dark.!,fear
I feel so ashamed of myself. That really hit me.,shame
This situation makes me sick. I feel overwhelmed.,disgust
I miss my family so much..,sadness
I'm furious about how they treated me. I couldn't believe it.,anger
I can't breathe when I'm anxious.!,fear
I can't breathe when I'm anxious. I feel overwhelmed.,fear
